,Leaderboard Rank,Model Name,Submitter Name,Avg. std Score,Avg. Raw Score,Avg. Grade,2024 SAT,2023 SAT,2022 SAT,2021 SAT,2020 SAT,2019 SAT,2018 SAT,2017 SAT,2016 SAT,2015 SAT,URL
0,1,gpt-4o-2024-08-06,,114.9,75.9,3.6,65 (4),81 (4),70 (4),69 (4),76 (4),74 (3),77 (4),86 (2),84 (3),77 (4),
1,2,Meta-Llama-3.1-405B-Instruct-Turbo,,113.8,74.9,3.8,77 (3),87 (3),69 (4),70 (4),65 (5),68 (4),78 (4),80 (3),87 (3),68 (5),
2,3,Qwen2.5-72B-Instruct-Turbo,,105.8,67.2,4.6,61 (5),78 (4),52 (6),60 (5),60 (5),64 (4),74 (4),70 (5),74 (4),79 (4),
3,4,Meta-Llama-3.1-70B-Instruct-Turbo,,103.7,65.1,4.8,50 (6),72 (5),73 (3),61 (5),79 (3),51 (5),58 (6),66 (5),71 (5),70 (5),
4,5,Qwen2-72B-Instruct,,98.0,59.3,5.2,53 (5),57 (6),59 (5),45 (6),57 (5),56 (5),76 (4),69 (5),58 (6),63 (5),
5,6,gpt-4o-mini-2024-07-18,,93.9,55.2,5.6,57 (5),53 (6),50 (6),55 (5),50 (6),46 (6),62 (5),58 (6),64 (5),57 (6),
6,7,gemma-2-27b-it,,91.0,52.5,5.9,51 (6),54 (6),51 (6),51 (6),50 (6),37 (7),50 (6),71 (4),54 (6),56 (6),
7,8,solar-mini-ja,,85.9,47.4,6.2,46 (6),58 (6),43 (6),41 (7),46 (6),51 (5),49 (6),48 (7),40 (7),52 (6),
8,9,solar-mini,,85.5,47.2,6.4,33 (7),57 (6),48 (6),42 (7),46 (6),50 (6),43 (7),55 (6),42 (7),56 (6),
9,10,Mixtral-8x22B-Instruct-v0.1,,83.4,45.1,6.6,40 (7),44 (7),47 (6),31 (8),38 (7),35 (7),65 (5),57 (6),50 (6),44 (7),
10,11,WizardLM-2-8x22B,,83.3,45.3,6.6,37 (7),56 (6),47 (6),30 (8),52 (6),29 (8),51 (6),47 (7),51 (6),53 (6),
11,12,Qwen2.5-7B-Instruct-Turbo,,80.3,42.1,6.8,40 (7),40 (7),39 (7),35 (7),35 (7),35 (7),58 (6),53 (6),44 (7),42 (7),
12,13,Meta-Llama-3.1-8B-Instruct-Turbo,,74.7,36.5,7.1,46 (6),31 (8),36 (7),34 (7),36 (7),24 (8),38 (7),38 (7),37 (7),45 (7),
13,14,gpt-3_5-turbo,,68.7,30.6,7.7,29 (8),39 (7),26 (8),17 (9),36 (7),24 (8),38 (7),25 (8),45 (7),27 (8),
14,15,Mixtral-8x7B-Instruct-v0.1,,63.4,25.2,8.3,19 (9),25 (8),40 (7),20 (9),27 (8),19 (9),37 (7),16 (9),30 (8),19 (9),
15,16,gemma-2-9b-it,,61.2,23.1,8.4,24 (8),20 (9),16 (9),22 (9),17 (9),29 (8),24 (8),25 (8),25 (8),29 (8),
16,17,Llama-3.2-3B-Instruct-Turbo,,60.6,22.4,8.7,28 (8),18 (9),27 (8),23 (9),16 (9),17 (9),21 (9),29 (8),22 (9),23 (9),
17,18,Mistral-7B-Instruct-v0.3,,57.2,19.1,8.9,17 (9),11 (9),22 (9),12 (9),18 (9),21 (9),19 (9),27 (8),23 (9),21 (9),
