원점수,표준점수,백분위,등급
100,134,100,1
99,,,
98,132,98,1
97,131,98,1
96,130,97,1
95,129,95,2
94,128,94,2
93,128,94,2
92,127,91,2
91,126,90,2
90,125,89,2
89,124,87,3
88,123,86,3
87,122,84,3
86,121,83,3
85,120,81,3
84,119,80,3
83,118,78,3
82,117,76,3
81,116,75,4
80,115,73,4
79,114,72,4
78,113,70,4
77,112,68,4
76,111,67,4
75,110,64,4
74,110,64,4
73,109,62,4
72,108,60,4
71,107,58,5
70,106,57,5
69,105,55,5
68,104,53,5
67,103,52,5
66,102,50,5
65,101,49,5
64,100,47,5
63,99,45,5
62,98,44,5
61,97,42,5
60,96,41,5
59,95,39,6
58,94,38,6
57,93,36,6
56,92,34,6
55,92,34,6
54,91,32,6
53,90,31,6
52,89,29,6
51,88,28,6
50,87,27,6
49,86,25,6
48,85,24,6
47,84,23,6
46,83,22,7
45,82,21,7
44,81,20,7
43,80,19,7
42,79,18,7
41,78,17,7
40,77,16,7
39,76,15,7
38,75,14,7
37,74,12,7
36,74,12,7
35,73,11,7
34,72,10,8
33,71,10,8
32,70,9,8
31,69,8,8
30,68,7,8
29,67,7,8
28,66,6,8
27,65,5,8
26,64,5,8
25,63,4,8
24,62,4,9
23,61,3,9
22,60,3,9
21,59,2,9
20,58,2,9
19,57,2,9
18,56,1,9
17,56,1,9
16,55,1,9
15,54,1,9
14,53,1,9
13,52,0,9
12,51,0,9
11,50,0,9
10,49,0,9
9,48,0,9
8,47,0,9
7,46,0,9
6,45,0,9
5,44,0,9
4,43,0,9
3,42,0,9
2,41,0,9
1,,,
0,39,0,9
