표준점수,등급,백분위
149,1,100
147,1,100
146,1,100
145,1,100
144,1,100
143,1,100
142,1,100
141,1,100
140,1,100
139,1,99
138,1,99
137,1,99
136,1,99
135,1,98
134,1,98
133,1,98
132,1,97
131,1,96
130,2,96
129,2,95
128,2,94
127,2,93
126,2,92
125,2,91
124,2,89
123,3,88
122,3,87
121,3,85
120,3,84
119,3,82
118,3,80
117,3,78
116,3,76
115,4,75
114,4,73
113,4,70
112,4,69
111,4,67
110,4,65
109,4,62
108,4,61
107,5,59
106,5,57
105,5,55
104,5,53
103,5,51
102,5,49
101,5,47
100,5,45
99,5,44
98,5,42
97,5,40
96,6,39
95,6,37
94,6,35
93,6,34
92,6,33
91,6,31
90,6,30
89,6,29
88,6,27
87,6,26
86,6,25
85,6,24
84,6,23
83,7,21
82,7,20
81,7,19
80,7,18
79,7,17
78,7,17
77,7,16
76,7,15
75,7,14
74,7,13
73,7,12
72,7,11
71,8,10
70,8,10
69,8,9
68,8,8
67,8,7
66,8,7
65,8,6
64,8,5
63,8,4
62,8,4
61,9,3
60,9,3
59,9,2
58,9,2
57,9,1
56,9,1
55,9,1
54,9,1
53,9,0
52,9,0
51,9,0
50,9,0
49,9,0
48,9,0
47,9,0
46,9,0
