원점수,등급,표준점수 (추정),백분위 (추정)
100,1,143,100
99,1,142,100
98,1,141,99
97,1,140,99
96,1,139,98
95,1,138,97
94,1,137,97
93,1,136,96
92,1,135,96
91,1,134,95
90,1,133,95
89,1,132,95
88,2,131,94
87,2,130,93
86,2,129,92
85,2,128,91
84,2,127,90
83,2,126,89
82,2,125,89
81,3,124,88
80,3,123,86
79,3,122,85
78,3,121,84
77,3,120,82
76,3,119,81
75,3,118,80
74,3,118,78
73,3,117,77
72,4,116,75
71,4,115,74
70,4,114,72
69,4,113,70
68,4,112,69
67,4,111,67
66,4,110,65
65,4,109,64
64,4,108,62
63,4,107,60
62,5,106,58
61,5,105,57
60,5,104,55
59,5,103,54
58,5,102,52
57,5,101,51
56,5,100,49
55,5,99,48
54,5,98,46
53,5,97,45
52,5,96,43
51,5,96,42
50,5,95,40
49,6,94,38
48,6,93,37
47,6,92,35
46,6,91,33
45,6,90,32
44,6,89,30
43,6,88,28
42,6,87,27
41,6,86,25
40,6,85,23
39,7,84,22
38,7,83,21
37,7,82,20
36,7,81,19
35,7,80,18
34,7,79,17
33,7,78,16
32,7,77,14
31,7,76,13
30,7,75,12
29,7,75,11
28,7,74,10
27,8,73,9
26,8,72,9
25,8,71,8
24,8,70,7
23,8,69,6
22,8,68,6
21,8,67,5
20,9,66,5
19,9,65,4
18,9,64,4
17,9,63,3
16,9,62,3
15,9,61,3
14,9,60,2
13,9,59,2
12,9,58,2
11,9,57,1
10,9,56,1
9,9,55,1
8,9,54,1
7,9,53,0
6,9,52,0
5,9,51,0
4,9,50,0
3,9,49,0
2,9,48,0
1,9,47,0
0,9,46,0
